WSRace,Year,WSPosition,WSName,WSClub,WSClass,WSTime,WSDecimalTime,WSNotes
D,1979,3,"Story R & Jackson","10 Sig Regt & ","K2 Senior",04:41:35,4.68,.
A,1979,4,"KInch & Haines","Royal  & ","K2 Senior",02:00:00,2.00,.
A,1979,4,"Salisbury & Sellwood","Leighton Park & BOARC","K2 Junior",02:11:10,2.18,.
B,1979,4,"Pendle Dyson & Pearson A D","35th Norwich SS","K2 Senior",02:43:45,2.72,.
B,1979,4,"Salisbury & Sellwood","Leighton Park & BOARC","K2 Junior",02:59:45,2.98,.
C,1979,4,"Belcher & Garner",Royal/Lichfield,"K2 Senior",03:18:10,3.30,.
D,1979,4,"Harding Ollie & White Ian","Longridge  & ","K2 Senior",04:42:40,4.70,.
A,1979,5,"Story R & Jackson","10 Sig Regt & ","K2 Senior",02:00:10,2.00,.
B,1979,5,"Story R & Jackson","10 Sig Regt & ","K2 Senior",02:45:50,2.75,.
C,1979,5,"Pendle Dyson & Pearson A D","35th Norwich SS & ","K2 Senior",03:19:30,3.32,.
D,1979,5,"Pendle Dyson & Pearson A D","35th Norwich SS & ","K2 Senior",04:43:15,4.72,.
A,1979,6,"Unknown & Unknown","RE & ","K2 Senior",02:00:40,2.00,.
C,1979,6,"Perrett Bernard & Kirschener","Leighton Park","K2 Senior",03:20:10,3.33,.
D,1979,6,"Ralph & Rowell","RNKA & ","K2 Senior",04:46:00,4.77,.
D,1979,6,"Salisbury & Sellwood","Leighton Park & BOARC","K2 Junior",05:17:36,5.28,.
A,1979,7,"Perrett Bernard & Kirschener","Leighton Park & ","K2 Senior",02:02:25,2.03,.
B,1979,7,"Gould & Kelly","Richmond  & ","K2 Senior",02:49:40,2.82,.
C,1979,7,"Gould & Kelly","Richmond ","K2 Senior",03:26:15,3.43,.
D,1979,7,"Belcher & Garner","Royal/Lichfield & ","K2 Senior",05:04:25,5.07,.
A,1979,8,"Wrafter & Thorogood Alison","Newham & ","K2 Senior",02:05:05,2.08,.
B,1979,8,"Belcher & Garner","Royal/Lichfield & ","K2 Senior",02:51:15,2.85,.
B,1979,8,"Hunter & Farrell E J","Royal ","K2 Senior",02:51:15,2.85,.
C,1979,8,"Coleman & Coleman","Tonbridge ","K2 Senior",03:27:15,3.45,.
D,1979,8,"Coleman & Coleman","Tonbridge  & ","K2 Senior",05:05:50,5.08,.
A,1979,9,"Belcher & Garner","Royal/Lichfield & ","K2 Senior",02:05:15,2.08,.
C,1979,9,"Ralph & Rowell",RNKA,"K2 Senior",03:27:35,3.45,.
D,1979,9,"Unknown & Unknown","RE & ","K2 Senior",05:13:10,5.22,.
A,1979,10,"Ralph & Rowell","RNKA & ","K2 Senior",02:08:30,2.13,.
B,1979,10,"Lund M S & Foster P",Newham,"K2 Senior",02:53:40,2.88,.
C,1979,10,"Lund M S & Foster P",Newham,"K2 Senior",03:34:55,3.57,.
D,1979,10,"Worth Andrew & Carpenter Mike","Exeter  & ","K2 Senior",05:21:50,5.35,.
A,1979,11,"Price B K & Dains Ron","Newham ","K2 Senior",02:08:40,2.13,.
C,1979,11,"Worth Andrew & Carpenter Mike","Exeter ","K2 Senior",03:37:25,3.62,.
D,1979,11,"Wrafter & Thorogood Alison","Newham & ","K2 Senior",05:23:20,5.38,.
A,1979,12,"Unknown & Unknown","Warren  & ","K2 Senior",02:09:20,2.15,.
B,1979,12,"Truelove & Blyth","Lichfield  & ","K2 Senior",02:55:20,2.92,.
C,1979,12,"Cook & Freeman A","Fladbury C","K2 Senior",03:38:30,3.63,.
D,1979,12,"Lund M S & Foster P",Newham,"K2 Senior",05:26:20,5.43,.
A,1979,13,"Spencer A & McGladdery G M","Hereford ","K2 Senior",02:12:05,2.20,.
B,1979,13,"Perrett Bernard & Kirschener","Leighton Park & ","K2 Senior",02:56:43,2.93,.
C,1979,13,"Unknown & Unknown","Warren ","K2 Senior",03:43:00,3.72,.
D,1979,13,"Unknown & Unknown","Warren  & ","K2 Senior",05:31:35,5.52,.
A,1979,14,"Lund M S & Foster P",Newham,"K2 Senior",02:13:00,2.22,.
A,1979,14,"Jobe & Craddock","Wey ","K2 Senior",02:13:00,2.22,.
B,1979,14,"Ralph & Rowell","RNKA & ","K2 Senior",02:57:15,2.95,.
C,1979,14,"Price B K & Dains Ron","Newham ","K2 Senior",03:43:45,3.72,.
D,1979,14,"Price B K & Dains Ron","Newham ","K2 Senior",05:34:25,5.57,.
B,1979,15,"Wetherall & Phelps","Richmond  & ","K2 Senior",02:58:50,2.97,.
C,1979,15,"Spencer A & McGladdery G M","Hereford ","K2 Senior",03:48:45,3.80,.
D,1979,15,"Amos S J & Woodger P R","Exeter  & ","K2 Senior",05:45:55,5.75,.
A,1979,16,"Worth Andrew & Carpenter Mike","Exeter  & ","K2 Senior",02:15:15,2.25,.
B,1979,16,"Worth Andrew & Carpenter Mike","Exeter  & ","K2 Senior",03:01:00,3.02,.
C,1979,16,"Amos S J & Woodger P R","Exeter  & ","K2 Senior",03:56:55,3.93,.
D,1979,16,"French P & Arundel J","Met Police  & ","K2 Senior",05:55:04,5.92,.
A,1979,17,"Coleman & Coleman","Tonbridge  & ","K2 Senior",02:15:45,2.25,.
B,1979,17,"Wrafter & Thorogood Alison","Newham & ","K2 Senior",03:01:45,3.02,.
C,1979,17,"Haines & Kingsnorth","Fladbury C & ","K2 Senior",03:58:30,3.97,.
A,1979,18,"Gardener & Unknown","Royal  & ","K2 Senior",02:18:35,2.30,.
B,1979,18,"Coleman & Coleman","Tonbridge  & ","K2 Senior",03:03:30,3.05,.
C,1979,18,"Jobe & Craddock","Wey  & ","K2 Senior",04:00:45,4.00,.
D,1979,18,"Bannister & King","Tonbridge  & ","K2 Senior",06:16:25,6.27,.
A,1979,19,"Cook & Freeman A","Fladbury C","K2 Senior",02:19:10,2.32,.
B,1979,19,"Cook & Freeman A","Fladbury C","K2 Senior",03:05:05,3.08,.
C,1979,19,"Unknown & Unknown","RE & ","K2 Senior",04:01:15,4.02,.
D,1979,19,"Goldsmith & Williams","Hereford  & ","K2 Senior",06:19:15,6.32,.
A,1979,20,"Haines & Kingsnorth","Fladbury C & ","K2 Senior",02:20:55,2.33,.
B,1979,20,"Unknown & Unknown","Wey  & ","K2 Senior",03:10:15,3.17,.
C,1979,20,"Bell Roger & Stanway","Newbury  & ","K2 Senior",04:10:10,4.17,.
D,1979,20,"Bell Roger & Stanway","Newbury  & ","K2 Senior",06:25:10,6.42,.
A,1979,21,"Gehnich & Blumson","City of London & Met & ","K2 Senior",02:27:00,2.45,.
B,1979,21,"Jobe & Craddock","Wey  & ","K2 Senior",03:12:35,3.20,.
D,1979,21,"Longstaff Peter & Hossack D J","Windsor & ","K2 Senior",06:31:05,6.52,.
A,1979,22,"Gale & Abbott","35th Norwich SS & ","K2 Senior",02:27:30,2.45,.
B,1979,22,"Amos S J & Woodger P R","Exeter  & ","K2 Senior",03:13:15,3.22,.
C,1979,22,"Bannister & King","Tonbridge  & ","K2 Senior",04:12:55,4.20,.
A,1979,23,"Amos S J & Woodger P R","Exeter  & ","K2 Senior",02:28:00,2.47,.
B,1979,23,"Unknown & Unknown","Warren  & ","K2 Senior",03:14:15,3.23,.
D,1979,23,"Jones S W & Moss N J",RMCS,"K2 Senior",06:43:30,6.72,.
A,1979,24,"French P & Arundel J","Met Police  & ","K2 Senior",02:31:05,2.52,.
B,1979,24,"Gillman C R & Little R J","Totnes ","K2 Senior",03:22:05,3.37,.
D,1979,24,"Cocksedge S & Blakeman R","10 Sig Regt","K2 Senior",07:02:10,7.03,.
A,1979,25,"Kirtley & Rixson",RMCF,"K2 Senior",02:34:50,2.57,.
B,1979,25,"French P & Arundel J","Met Police ","K2 Senior",03:26:25,3.43,.
D,1979,25,"TIdcombe & Cullan","RMCF & ","K2 Senior",07:23:04,7.38,.
A,1979,26,"Bannister & King","Tonbridge  & ","K2 Senior",02:35:50,2.58,.
